epoch 026 | train loss 0.1902 | val acc 0.9057 | val nll 0.2709 | val ece 0.0325
epoch 027 | train loss 0.1854 | val acc 0.9076 | val nll 0.2656 | val ece 0.0354
epoch 028 | train loss 0.1788 | val acc 0.9084 | val nll 0.2672 | val ece 0.0340
epoch 029 | train loss 0.1770 | val acc 0.9096 | val nll 0.2656 | val ece 0.0343
epoch 030 | train loss 0.1721 | val acc 0.9001 | val nll 0.2787 | val ece 0.0325
epoch 031 | train loss 0.1684 | val acc 0.9089 | val nll 0.2566 | val ece 0.0310
epoch 032 | train loss 0.1719 | val acc 0.9098 | val nll 0.2567 | val ece 0.0326
epoch 033 | train loss 0.1647 | val acc 0.9080 | val nll 0.2585 | val ece 0.0302
epoch 034 | train loss 0.1606 | val acc 0.9112 | val nll 0.2567 | val ece 0.0315
epoch 035 | train loss 0.1598 | val acc 0.9116 | val nll 0.2584 | val ece 0.0313
epoch 036 | train loss 0.1588 | val acc 0.9101 | val nll 0.2538 | val ece 0.0335
epoch 037 | train loss 0.1532 | val acc 0.9115 | val nll 0.2501 | val ece 0.0316
epoch 038 | train loss 0.1522 | val acc 0.9106 | val nll 0.2600 | val ece 0.0344
epoch 039 | train loss 0.1507 | val acc 0.9098 | val nll 0.2604 | val ece 0.0327
epoch 040 | train loss 0.1484 | val acc 0.9102 | val nll 0.2576 | val ece 0.0308
epoch 041 | train loss 0.1466 | val acc 0.9134 | val nll 0.2509 | val ece 0.0335
epoch 042 | train loss 0.1437 | val acc 0.9118 | val nll 0.2521 | val ece 0.0326
early stopping at epoch 042
final test | best epoch 037 | test acc 0.9088 | test nll 0.2660 | test ece 0.0331
saved checkpoint: checkpoints/fashion_student_kd_fisher_a0p00003.pt
saved metrics: results/fashion_student_kd_fisher_a0p00003.csv
epoch 001 | train loss 1.0970 | val acc 0.7836 | val nll 0.5796 | val ece 0.0453
epoch 002 | train loss 0.5582 | val acc 0.8369 | val nll 0.4633 | val ece 0.0418
epoch 003 | train loss 0.4670 | val acc 0.8484 | val nll 0.4328 | val ece 0.0412
epoch 004 | train loss 0.4174 | val acc 0.8647 | val nll 0.3874 | val ece 0.0364
epoch 005 | train loss 0.3814 | val acc 0.8709 | val nll 0.3618 | val ece 0.0331
